,new_1
0,-2.3156759933239677
1,-2.2463080693333213
2,-2.69100870031235
3,-3.3334674567075084
4,-2.981225066066243
5,-1.6282708794884448
6,-1.4605031031726698
7,-2.3682547427638183
8,-0.8372968351122557
9,-1.8293903298902425
10,-0.37562983605846567
11,0.21958474227627428
12,-0.21127555402332407
13,-0.7509161906091049
14,0.21518467122594873
15,-0.7146919504801542
16,0.34636916757717173
17,0.34016171517286403
18,0.19465843370638694
19,0.1689903573808369
20,0.15584068553439995
21,0.2649823731425633
22,0.41398908598148926
23,-0.1592829620636346
24,0.39902254070478627
25,0.4423204826395849
26,0.6722505181022465
27,0.661603638957299
28,0.3308549042116382
29,0.537484572174564
30,0.41487151089254776
31,0.6826473793575459
32,0.587702615860038
33,0.38111628690875643
34,0.670570933363457
35,0.642788662087941
36,0.6440244729138849
37,0.6793558314992532
38,0.6810733586333705
39,0.5646434049901463
40,0.6235188064119501
41,0.6562230775443176
42,0.6250156412068892
43,0.6660441834064
44,0.6714527149135178
45,0.5041136378446582
46,0.6798054996627501
47,0.6679393534333706
48,0.6390628810872293
49,-0.7096494963430248
50,0.6634166529079862
51,0.03165514531787631
52,-0.6996418034406251
53,0.5370030777821155
54,0.6594009025760418
55,0.3885883873853378
56,0.6383631221512793
57,-0.03460744718130143
58,-0.6854446601128222
59,-0.3271521387315868
60,-0.7124276884873447
61,0.028820645042422887
62,-0.6472564648441012
63,0.41562991965205776
64,0.3610569659682003
65,-0.4342369724859639
66,-0.02956643017347167
67,0.6619910122110455
68,-1.4330663242205932
69,0.39227331652536324
70,-0.019360925689016695
71,0.10407912145914529
