,old_4
0,-5.402814230729234
1,-4.8279599973023695
2,-5.122937748119028
3,-4.724280995254588
4,-4.602249623234092
5,-3.8849009966292014
6,-5.128509188434368
7,-5.6002853860674495
8,-2.727541588996935
9,-3.4904822843291163
10,-2.9825635234157684
11,-2.859390390226349
12,-2.937335801403987
13,-4.725875220220128
14,-3.1825040490566243
15,-3.576798483544329
16,-2.7877038697113257
17,-2.174840568053372
18,-2.1466433303922443
19,-2.207256227813091
20,-3.501707528160188
21,-2.7550196805981626
22,-1.0531819501433977
23,-2.3553984002528736
24,-2.1178888271919796
25,-2.9000664614472624
26,-1.4467046485231783
27,-1.1352989246355496
28,-3.597338483817579
29,-2.2357931972653846
30,-2.748200796165981
31,-1.2543663280160344
32,-0.7769584344863814
33,-0.45625607778243155
34,-0.9088327153779824
35,-1.7336371721607335
36,-2.0491689005178317
37,-2.1652236158410347
38,-0.9853519340513973
39,-1.0023668105692265
40,-0.9117454280377689
41,-0.532261017038139
42,-1.0436084659121057
43,-2.7575708068650324
44,-1.4201996361639908
45,-2.6501963150667773
46,-0.46647043356099394
47,-1.8490909806253808
48,-0.8797819804313498
49,-3.3025592464943996
50,-0.907134983643265
51,-1.4300304419966923
52,-1.2391631719926117
53,-1.527615813124471
54,-1.3351265567472312
55,-1.0455842575050243
56,-1.0737835984327346
57,0.007324967041484798
58,-1.335298526308964
59,-0.3029624916881123
60,-0.8298676588257156
61,-0.5381767614754591
62,-0.5941443579532293
63,-0.3775844664191286
64,-0.8231652378195438
65,-0.8202628859570893
66,-0.4405950104890758
67,-0.13770669372734404
68,-1.2363316630414236
69,-0.7728314272788814
70,-1.3622309224475233
71,-0.36312301429686533
72,-0.6052356370513103
73,0.12673659476246119
74,-0.7141629833284125
75,-0.059173468767466986
76,-1.0734545868034895
77,-0.503937016986814
78,-1.4316236289891362
79,-0.2574219705684356
80,-0.31759001029144923
81,-0.5388799112950687
82,0.022720717740150227
83,-0.10814103598713916
84,-0.9257295179475052
85,-0.4694005719659454
86,0.10140311445006336
87,0.257902032513057
88,-0.6788422132635816
89,-0.6656492225326262
90,0.13468004657643257
91,-1.0101761277061396
92,-0.6206210916225475
93,0.29043461092426665
94,-0.7126413514610455
95,0.2861641293307147
96,0.23748691952100054
97,-0.06583791358344751
98,0.28603083651656336
99,0.027098317650585246
100,0.10919962643006768
101,0.026270168748391887
102,-0.09609482683358764
103,-0.3476464741318999
104,-1.4785422609744587
105,-0.501317981503974
106,-0.11899879820696277
107,-1.0277866762756376
108,0.030385098477597954
109,0.4343194685047398
110,0.2618965959715499
111,-0.07195022762651866
112,-0.7030236652450454
113,0.07716668340432467
114,-0.21684701463281314
115,0.12110452957595252
116,0.41612091440379084
117,0.18423141413292726
118,0.6354409059014995
119,0.0840937088209393
120,-0.44796337235980016
121,-0.20312994646654065
122,0.6239923977891529
123,-0.028333878124951927
124,0.02710164127114819
125,0.15951776052099492
126,0.22859182016346416
127,0.5102690686160232
128,-1.2843767958118966
129,-1.3376769835687359
130,0.20570967899862708
131,0.5582520019862922
132,-0.6130425996745171
133,-0.01059426755400431
134,-0.2767871239760308
135,-0.0338650365494898
136,-0.23651125298015724
137,-0.405810503110603
138,0.11627324646436085
139,0.07619794527173032
140,0.16029270507770227
141,0.1237895605181758
142,-0.5431886030653476
143,-0.4675821463237953
144,0.5754952434971814
145,0.5715150248870162
146,0.6721804890151496
147,0.44599204012772375
148,-0.4893711848723267
149,0.581017570928677
150,0.46430097597936654
151,0.20664183924657994
152,-0.02109970428436503
153,-0.7908143803646267
154,-0.8823152610356593
155,0.22300777178759373
156,0.18665341536034388
157,0.5470428624668384
158,0.33088749044081617
159,-0.20266328884203308
160,0.42065527486052645
161,0.49198612249205353
162,-0.732962104232403
163,0.41965806879430795
164,-0.03730960092850237
165,0.38204468645314715
166,0.3950655514581433
167,-0.33327356799675406
168,0.32508401369997064
169,0.6481515663812714
170,0.6529671704047527
171,0.5306185041823955
172,0.48216270395556604
173,0.49533001600672344
174,0.7130096549728691
175,0.2622990662344192
176,0.6988100587158852
177,0.6568593372510277
178,-0.2385433908038419
179,0.2051361930012848
180,0.6633021568841385
181,0.6555543540648819
182,0.16633926143855596
183,0.4318078438685909
184,0.6044350631973139
185,0.5536513119338107
186,0.5524001476392276
187,0.48590828127941477
188,0.34951032324555037
189,0.6229864135697551
190,0.3425774713613533
191,-0.43281750289605353
192,0.6850508430776177
193,0.00102413218345333
194,-0.03478859965895152
195,0.2825076156952777
196,0.6207154639749216
197,0.6972642235781304
198,0.6522198797311897
199,-0.016191800915028292
200,0.47900510487960835
201,0.6875555959501092
202,0.39472988713198043
203,0.6596720609775216
204,0.5235810992599033
205,0.45835994504780164
206,0.2753397723070178
207,0.08956562261449905
208,0.3890729450965281
209,0.22356750602111647
210,-0.005731584673798329
211,0.6990886936385486
212,0.031730189626194547
213,-0.2409836923046833
214,0.6512514064280319
215,0.4563197332031149
216,0.4759755199759733
217,0.4139210664387364
218,-0.6095196974081784
219,0.18862459774672904
220,-0.5443545885134788
221,0.13953160780227988
222,0.7026008470107257
223,0.4644188086103573
224,-0.4092952603686567
225,0.635953391243228
226,0.39715227828624183
227,0.46578845484627873
228,0.23450655719619168
229,0.4416970097516524
230,0.37087980547265975
231,0.7082496509240199
232,0.41875813249879956
233,-0.008493570010995776
234,0.028330814306508457
235,0.36114054285984
236,-0.1321429188138644
237,-0.08968426997554944
238,0.2542685788846669
239,0.34300066478423974
240,0.7082978166731577
241,-0.019280942160569258
242,0.23051713867392606
243,0.5243361146924046
244,0.32257874002654685
245,0.423599863055743
246,0.7129136001584991
247,-0.012515105119931192
248,0.688020495191088
249,0.2948330172513035
250,0.2618655337614613
251,0.6746148226600417
252,0.2815805410568212
253,-0.0042752953256528945
254,0.6314155995319763
255,0.45554777852049827
256,0.37060169779807395
257,0.510920718522739
258,0.46367566229621093
259,0.4475100671854597
260,0.5549564437538497
261,0.248986721169409
262,0.5356081165916964
263,0.6755190842884577
264,0.7058142441180755
265,0.40359077223736123
266,0.33284749171106526
267,0.3795626711572192
268,0.4028042985112025
269,0.45051649359995516
270,0.3014868681824504
271,0.48842814266903245
272,0.5869697311688056
273,0.49155259730630974
274,0.5238075188586219
275,0.3826611575157881
276,0.7000100304187087
277,0.6254296984291449
278,0.4258130902794973
279,0.15964863912261804
280,0.29185446252591396
281,0.10263617981032884
282,0.6341249698153625
283,0.5929711402066127
284,0.7075417102576781
285,0.560780336554105
286,0.7026894922894071
287,0.09493088167072142
288,0.38625158156187395
289,0.6113260850816566
290,-0.09890407956011751
291,0.5927526766170644
292,0.13430078630636225
293,0.29493679453671945
294,-0.9462955845314773
295,0.3795644848681266
296,0.6741383726637926
297,0.5872061182273152
298,0.5751400450341091
299,0.41473860588789346
300,0.10879873554672943
301,0.4459321268403431
302,0.5782102549751291
303,0.7016994968122867
304,0.6051615264951435
305,0.6022446453529017
306,0.712503894919829
307,-0.060120670344673374
308,0.36732845039764095
309,0.4399612182640875
310,0.3721191216707379
311,0.6810340543536606
312,0.3698829805154912
313,0.6722425928337457
314,0.7022524244557088
315,0.4076579278594264
316,0.7040399754501421
317,0.3948095736841724
318,0.49331912668238687
319,0.14559288138105933
320,0.07012314821121349
321,0.48982904816825223
322,0.5967303230609735
323,0.4357127783607491
324,0.6740732719572001
325,0.6332053617776146
326,0.49026545244488035
327,0.6826854933028399
328,0.7036637327018186
329,0.6697695441641882
330,0.3873533529347785
331,0.26398223441976565
332,0.5955648281278452
333,0.6545617695691481
334,0.5942715561756516
335,0.5136855303402885
336,0.416826549627051
337,0.5933461920957326
338,0.45249553626819106
339,0.49478197181567485
340,0.516796562387579
341,0.35845227847818484
342,0.44331576473284856
343,0.33875825654557257
344,0.7116956244225201
345,0.39480534614316626
346,0.7059578292793555
347,0.5474712727441624
348,0.6643779559442734
349,-0.10329843354351045
350,0.7341416837685264
351,0.7315140009748942
352,0.3994526467966369
353,0.7174787210465768
354,0.6609986893398752
355,-0.2297671922172606
356,0.18645827803937787
357,0.19609452353129436
358,0.7059221101899402
359,0.23174286373004435
360,0.7029196875453734
361,0.6949445136247538
362,0.6707020445136298
363,0.15244895542847697
364,0.6468796171402612
365,0.39673259899014773
366,0.6826816679547092
367,0.7275047096486321
368,0.697014403697026
369,0.32620158094958035
370,0.07852164495464671
371,-0.017431725520592557
372,0.6213840565603481
373,0.6062589435036865
374,0.5229592417827328
375,0.3890783444627407
376,0.7443302625634336
377,0.733734384749962
378,0.6394184735999657
379,0.7301853569567869
380,0.4937774916076264
381,0.5506359218375365
382,0.7486718042470886
383,0.584161048320449
384,0.702414574423362
385,0.48583844970167894
386,0.736288871613797
387,0.3936587393588414
388,0.5020513408003862
389,0.4579849008642217
390,0.6840578511482045
391,0.5467471580462029
392,0.3266777221552064
393,0.7162296371930239
394,0.6780845612416704
395,0.46576520457195486
396,0.7003225958862311
397,0.7372975982280388
398,0.704612355552719
399,0.7265116474192731
400,0.25126037872578605
401,0.7169790899028938
402,0.6994504678946692
403,0.7133836625904426
404,0.6966609675613445
405,0.7335130890902353
406,0.7518549261499178
407,0.7082725720714654
408,0.658213731410566
409,0.4519586455004026
410,0.7561248175831695
411,0.3067639135193459
412,0.664143803101016
413,0.7057105577060715
414,0.7420150328125097
415,0.4244510107172393
416,0.7466125772025506
417,0.6964056686851038
418,0.7326629989733939
419,0.6100554037582473
420,0.711403765508647
421,0.454619407553981
422,0.5627163963954822
423,0.6992291330758136
424,0.4587496526818883
425,0.7477445534695587
426,0.5231158189687735
427,0.7076573279744593
428,0.698905655278607
429,0.7353474694439358
430,0.7281576736029424
431,0.5328653512624049
432,0.7426485899200069
433,0.7108613280380103
434,-0.17486232233471627
435,0.5890804184047191
436,0.5049634834620407
437,0.7415805133824115
438,0.4871484444896523
439,0.5519058501618861
440,0.553791326840996
441,0.2963658981752492
442,0.6004952433104853
443,0.658140961405496
444,0.7149456948586296
445,0.271982665272649
446,0.3887489189636323
447,0.7075446525094029
448,0.7355081184200114
449,0.5182167597651656
450,0.3931582595694333
451,0.6975638705324563
452,0.5187312239993005
453,0.3910581243495105
454,0.6779271640363908
455,0.23675781964815412
456,0.46430399272016726
457,0.7289225627028062
458,0.55124657966705
459,0.27142505637429903
460,0.6604509076912511
461,0.7087639800850689
462,0.5191504746200436
463,0.7503482172107083
464,0.6126866266163831
465,0.7036273534796482
466,0.7052860676791666
467,0.5640960224156819
468,0.24937297033241182
469,0.7335874154385542
470,0.5207384973424325
471,0.44174179336873004
472,0.6665507774601622
473,0.5736956611062387
474,0.5145364551674458
475,0.7101458967389906
476,0.5534749509266135
477,0.733040460237226
478,0.6613275606379271
479,0.7240314530692498
480,0.6973877819323603
481,0.7015371267719201
482,0.7294529750248302
483,0.631038321652691
484,0.627125950325707
485,0.7194470610734074
486,0.7155718913822271
487,0.7272403963756368
488,0.7444243938236607
489,0.7091419269818613
490,0.5240447723050741
491,0.699389525979977
492,0.7270430097784668
493,0.6715485956604478
494,0.6610230570079768
495,0.5685467837905352
496,0.6887780988456372
497,0.6508065973772231
498,0.7074882336339148
499,0.6579511127705213
500,0.730813759022712
501,0.7068676775980371
502,0.7478521942992786
503,0.13800698544681383
504,0.7276465884628989
505,0.6562758094681491
506,0.4740313335213636
507,0.5506315072914696
508,0.5744751586649455
509,0.7198031076205187
510,0.6508853154859364
511,0.5000107569652629
512,0.6896935622412448
513,0.5544332887844494
514,0.7693234617645681
515,0.45682443957231883
516,0.7305962024493462
517,0.46912677770559863
518,0.7333116726306668
519,0.6506061057000739
520,0.7341148859051503
521,0.530492439510901
522,0.47131192309101005
523,0.30731331453229943
524,0.5578045795978813
525,0.6419153679049653
526,0.510892108342851
527,0.731778599170008
528,0.7104001483467866
529,0.5003747001998298
530,0.47901255145061955
531,0.7407953648312401
532,0.7357264199204406
533,0.7236961194880056
534,0.736068014856383
535,0.7101933014461375
536,0.6956266906909709
537,0.7095736219809974
538,0.6847924183697445
539,0.5854116819820704
540,0.3757346722772915
541,0.7194877084266165
542,0.16043759211462708
543,0.3226761308444831
544,0.7487619790300646
545,0.7594243193398623
546,0.4636485987378223
547,0.2130886860617185
548,0.2502930264247508
549,0.5450044186202619
550,0.729462310998042
551,0.3172043724303121
552,0.5989530883842893
553,0.6023208016834077
554,0.7489640402797024
555,0.665792056499259
556,0.7006807983037875
557,0.7238977884006037
558,0.6939907184029316
559,0.689445406117334
560,0.46920908601343275
561,0.4097026898907649
562,0.7319852266851722
563,0.7152452673016353
564,0.5311213232368973
565,0.7208686273498547
566,0.5148301685177799
567,0.41498847682260764
568,0.7088218189977263
569,0.440330581085164
570,0.4736111083019915
571,0.4578071133275469
572,0.5157530691431221
573,0.6785263361655456
574,0.6028777242793782
575,0.7055598850837563
576,0.7505841767639513
577,0.4555179497014973
578,0.7076563531232087
579,0.7249445319702421
580,0.7102034050206885
581,0.7137475102937377
582,0.7113968150359631
583,0.6359772668201641
584,0.7429580669267085
585,0.7273247383111372
586,0.4787853377424967
587,0.5624931438607091
588,0.7287716039562884
589,0.7335524516917774
590,0.7137641471790008
591,0.7189089662128418
592,0.7284368627927346
593,0.7309136301307356
594,0.737455377270851
595,0.4298725874132259
596,0.7022615198223173
597,-0.15673060966963934
598,0.6981974019085923
599,0.381511293242028
600,0.6348775066594274
601,0.6864893286392034
602,0.7409183997099553
603,0.35581376812054255
604,0.7342771341626791
605,0.721503685990495
606,0.49889933167661615
607,0.6695870426480851
608,0.6750836792760866
609,0.5685853502552336
610,0.6971896393943691
611,0.6934956142974115
