,new_5
0,0.5232969400344569
1,0.7191820482489293
2,0.5289065467162887
3,0.7470023731336618
4,0.514559861578992
5,0.7601297956524572
6,0.31555408249096206
7,0.7695728912783221
8,0.6654566334685632
9,0.7620019253652907
10,0.715113892121912
11,0.7228428265326775
12,0.7574705352657206
13,0.7230404720742283
14,0.7437913230067397
15,0.7583337800013508
16,0.7590953369590061
17,0.7684074536231285
18,0.7723569268153365
19,0.7484565077718436
20,0.5343628522571573
21,0.7528126148980664
22,0.7391392136462409
23,0.7470933534663138
24,0.7433914351588435
25,0.7673242446227306
26,0.7393230080702018
27,0.7379747503542672
28,0.7743026754809098
29,0.5986584273632006
30,0.7611487825902089
31,0.7486654058270445
32,0.7805571656095365
33,0.7174714773882406
34,0.7584626755468415
35,0.7621547659880085
36,0.773852293148632
37,0.7810461289390612
38,0.7207112749771659
39,0.7637866382399193
40,0.7544220566174771
41,0.7608164451434316
42,0.7538782602007921
43,0.7768323203224214
44,0.7736985822189986
45,0.7525036541265322
46,0.7669352907010186
47,0.7733303517227225
48,0.7545229484917839
49,0.7577070457895568
50,0.7612517149286404
51,0.5253353929681926
52,0.7732575089407889
53,0.7535755645457612
54,0.7659363676175508
55,0.7431270171737114
56,0.7644329536037827
57,0.7510037926610813
58,0.7416291236815108
59,0.6690811311267778
60,0.7326643002230944
61,0.7706471570460915
62,0.7750426551827871
63,0.7714543940722449
64,0.7659190421565683
65,0.773877610172183
66,0.5377695337717204
67,0.7611761199121154
68,0.7458583700768102
69,0.7472050026351171
70,0.7501676308877978
71,0.7336191792548197
72,0.7678521112993926
73,0.7718635667061337
74,0.7722727187570053
75,0.7444332572617586
76,0.782789334019411
77,0.7683667662211653
78,0.7762766092853448
79,0.7625882900831612
80,0.7563308968304389
81,0.7719365790113211
82,0.7577766275256554
83,0.7551608417985783
84,0.7772626755743216
85,0.7538708608287865
86,0.7537725031637031
87,0.7665294524476952
88,0.7737047294585452
89,0.7740203032467489
90,0.5376904444338281
91,0.7785434290630864
92,0.7675877779604947
93,0.7578265370161571
94,0.769098295554293
95,0.7771049110283939
96,0.7850666427120335
97,0.7606729869657796
98,0.7643570932043166
99,0.777650943499804
100,0.7596192975578614
101,0.7569491257741373
102,0.7703792105053414
103,0.7775096920338569
104,0.7612326730522356
105,0.7508008088365237
106,0.7396145274894991
107,0.7647300098881852
108,0.7504913533069595
109,0.7499451388807921
110,0.7790580297207079
111,0.7616576620447744
112,0.7715921080961489
113,0.769023030337143
114,0.778547789186047
115,0.7674534360188148
116,0.7535486999715987
117,0.7803866915026992
118,0.7550205901916959
119,0.74528222252136
120,0.7725225356479997
121,0.776101529776517
122,0.7641806734889763
123,0.773108588296765
124,0.7678611653882264
125,0.7919487897266192
126,0.7797640485293553
127,0.7796456194342046
128,0.7791320206661447
129,0.776405818861049
130,0.726661199109168
131,0.7660951521255922
132,0.7556327947314188
133,0.7530344922934856
134,0.7702592000404687
135,0.7841802146419244
136,0.4434003531270891
137,0.7676452501485671
138,0.7632061510290665
139,0.7582678250125088
140,0.777631680734979
141,0.7704805352208327
142,0.7745940125876143
143,0.7662931599962081
144,0.7580392172925406
145,0.7858162532573821
146,0.7576893540066798
147,0.7453083034501449
148,0.7819468445055666
149,0.7601454875286567
150,0.7681962511133905
151,0.7885428629468876
152,0.762397390695222
153,0.7720488874885802
154,0.7673288066979929
155,0.7817983215491947
156,0.7576112273287687
157,0.7725017268350844
158,0.7739607110364942
159,0.7742548362412326
160,0.7932885232174176
161,0.7804630740707426
162,0.754403620399546
163,0.7780238575822989
164,0.7671567753904093
165,0.7728944071429246
166,0.7660665107917155
167,0.7838208628727064
168,0.5547876483489089
169,0.7708729397169065
170,0.5416192334765882
171,0.7709749045498159
172,0.768000426271428
173,0.7795415535188384
174,0.7619898201909174
175,0.7744866059149909
176,0.7697423810990378
177,0.7703312739789709
178,0.757451870625912
179,0.7704332771025715
180,0.5460612992964475
181,0.7780710319945339
182,0.4791590655719339
183,0.7875971451742265
184,0.74003408337792
185,0.7831641970295828
186,0.7711414621336544
187,0.7829430972548708
188,0.7811591456184399
189,0.782041472873276
190,0.7811209995335368
191,0.7765088240141745
192,0.7594946946801595
193,0.7715993955591938
194,0.7637815966650578
195,0.7945583795493566
196,0.7749394878458993
197,0.7759773956647298
198,0.7709167380531632
199,0.7670152682934271
200,0.785173522959388
201,0.776114661829838
202,0.7625336272474235
203,0.7852546290037683
204,0.7729342802466826
205,0.7638631961672042
206,0.7596199116892459
207,0.7808180065533431
