,old_5
0,-4.990676641576933
1,-5.315083449796171
2,-4.519546543172067
3,-5.2741685112227366
4,-4.795881472679989
5,-3.4731450354005977
6,-3.115698098543268
7,-2.3119600821992754
8,-2.7592266615362386
9,-2.6630474380754694
10,-2.848078991663605
11,-1.8575193587345615
12,-2.557257034459849
13,-2.1729796723623163
14,-2.431028412636249
15,-3.505799481394579
16,-1.3624341037191623
17,-1.8253072172155804
18,-1.7928865311767013
19,-2.0368555726917275
20,-3.0109387055006627
21,-1.7986638956917524
22,-4.159263585343437
23,-1.2470734615087349
24,-1.3725145666690126
25,-2.653504247545102
26,-1.9180963726839626
27,-1.1521962801785335
28,-2.164122020147128
29,-3.088121534550642
30,-2.4639680474338896
31,-0.7333697119289867
32,-1.8541731782018531
33,-0.8696232497124651
34,-1.3230138109552105
35,-1.0476687600353074
36,-0.8497386260257629
37,-0.684013950328831
38,-0.813885307607511
39,-1.1009356576688547
40,-0.5814556953184264
41,-1.66844561470251
42,-2.120841130379292
43,-0.14501580999007638
44,-0.23706729503907864
45,-0.6990926342676095
46,-0.07542244531013549
47,-1.3558659307253462
48,-0.2475687587198462
49,0.12870970646067867
50,0.020427516250807343
51,-0.33086981272755633
52,0.19936478074473868
53,0.4349648801264928
54,-0.3361865555516367
55,-0.5732433117926039
56,0.11291024998965626
57,-0.7020137281027305
58,-0.7928942878259161
59,-0.35788094865574094
60,-0.15573733697063785
61,0.3044941443439063
62,0.08064352657081711
63,-0.14122627860787781
64,-0.07839173837198879
65,0.1435839097548273
66,0.44962642580398116
67,-0.0766891612841222
68,0.340773489046095
69,0.17085117531759395
70,-0.06547841597042472
71,0.19555528383057194
72,-1.1963422622023558
73,-0.6405116640336118
74,0.19215061558425406
75,0.1671472668340196
76,-0.061438449431454226
77,-0.027142843441983276
78,0.7152015447686149
79,0.6579392134522819
80,-0.022039406150304718
81,0.09304712667941618
82,0.31708446063503193
83,0.14907453369977933
84,0.17521046974604076
85,-0.048279406887655585
86,0.6439385480493416
87,0.46687329788256954
88,-0.27166956446879353
89,0.4913759215754057
90,0.22392693858712698
91,0.667436737962787
92,0.6896933078929639
93,-0.14382765621949523
94,0.5455856180820572
95,0.4946164684455142
96,0.47358064522032767
97,0.17794959258679302
98,0.7190545065381192
99,0.45165612285435125
100,0.5349558049264613
101,0.1081411129525613
102,0.5762382798242796
103,0.6953021889571918
104,0.7161843729826008
105,0.5964074415582632
106,0.30361169704419944
107,0.6388377706194627
108,0.6490221003867053
109,-0.6550116342156096
110,0.27347389161098984
111,0.6512300293925819
112,0.6387381803110305
113,0.05080300559455606
114,0.27768893398558137
115,0.4575866914794792
116,0.6073344641079977
117,0.15463615718367518
118,0.4455899542661001
119,0.4942863184057578
120,0.3396218805333665
121,0.6310925033012016
122,0.19647713062226996
123,0.2016650602636433
124,0.19090204126246832
125,0.41403225471859334
126,-0.2178964857976752
127,0.6409351340847557
128,0.5193216101494492
129,0.2571840974732647
130,0.5720000338155911
131,0.633451177696051
132,0.5064857415544365
133,0.6027872930392767
134,0.47110667461386785
135,0.38581219665468003
136,0.573017234540632
137,0.28527406358532226
138,-0.3587774894904418
139,0.5707522958581943
140,0.5913300420515941
141,-0.19642299130276095
142,0.013185250811491389
143,0.5215059004525344
144,0.6203533942485537
145,0.6488808350298221
146,0.7277389683991764
147,0.3322115805865741
148,0.6028509708462277
149,0.40457742282143494
150,0.372050022481574
151,0.6799544770143735
152,0.7462214618170622
153,0.5312137831081815
154,0.6916596110521158
155,0.47931084717752953
156,0.7414266812249958
157,0.7207623319598463
158,0.7498050202305349
159,0.2338294736821676
160,0.63798569834287
161,0.7244319671999137
162,0.7339767604523033
163,0.3876734863852149
164,0.6942267050572781
165,0.6126652850271834
166,0.03523563031759291
167,0.4965877459413246
168,0.39392812025140567
169,0.7026152805150532
170,-0.11644307058787744
171,0.521365251504058
172,0.49362915850703193
173,0.40147230441166454
174,0.6947163972655532
175,-0.023545153716137635
176,0.5537400686133889
177,0.6750758778563177
178,0.7029396033691014
179,0.7322038994146733
180,0.6385192877508957
181,0.7269986171546122
182,0.2309843127719921
183,0.326614212051597
184,-1.117471389343336
185,0.27848554504301515
186,0.27343250124860435
187,0.6597904556568077
188,0.6695307337453384
189,0.5351787831671552
190,0.656081511881957
191,0.5417926064775416
192,0.4472992878035713
193,0.7314471129860525
194,0.6469984119144342
195,0.5362244674188972
196,0.5497957363922308
197,0.7419071685033339
198,0.5900549334780134
199,0.48682659000324496
200,0.3433510599094821
201,0.44231432255211284
202,0.7167859312966772
203,0.5544102014035067
204,0.5144070189800406
205,0.6319407099063223
206,0.7489423325159138
207,0.5493275557084184
208,0.6140891514557246
209,0.5863628263001608
210,0.362865163170921
211,0.7157653592748989
212,0.46670627024933553
213,0.6891324891975303
214,0.3985195516123059
215,0.4467389164691495
216,0.7456393542458366
217,0.6021780316534013
218,0.694001303157182
219,0.22860422939776473
220,0.004680969294051385
221,-0.23051329811568494
222,0.4892225864810163
223,0.24877002390184416
224,0.43781373747746494
225,0.6939873405888327
226,0.6411167351691296
227,0.6226756798219754
228,0.6511299981892356
229,0.6676505871390317
230,0.7182692567544275
231,0.7366954244302111
232,0.4199916540957288
233,0.5655259908649324
234,0.7266649746677902
235,0.7163570819190392
236,0.4758266846215209
237,0.7179212417787657
238,0.4970658852689781
239,0.7117190835027726
240,0.711682171271204
241,0.476335436444386
242,0.7276662988735905
243,0.7022072032034959
244,0.3361594264487474
245,0.3246165933843637
246,0.684559524102584
247,0.7191605437582528
248,0.42690903510921546
249,0.6561189033166948
250,0.6654321723705994
251,0.5546964568737601
