,old_1,old_2,old_3,old_4,old_5,new_1,new_2,new_3,new_4,new_5
111,-0.23,-0.291780244,0.273502669,-0.071950228,0.651230029,,0.770565314,0.754813395,0.763160286,0.761657662
112,-4.278,-0.171606022,0.614674978,-0.703023665,0.63873818,,0.762479451,0.753854378,0.663189832,0.771592108
113,-3.162,0.066182617,0.238744557,0.077166683,0.050803006,,0.747601556,0.758327176,0.769821845,0.76902303
114,-1.194,0.172089662,0.006352229,-0.216847015,0.277688934,,0.505177628,0.74993355,0.787511218,0.778547789
115,-3.293,0.547545039,0.181246901,0.12110453,0.457586691,,0.789464014,0.790406724,0.77149123,0.767453436
116,-7.009,0.096258849,-0.39310233,0.416120914,0.607334464,,0.689785404,0.774746468,0.651680934,0.7535487
117,-1.135,0.488895313,0.428855102,0.184231414,0.154636157,,0.741013055,0.739190689,0.746045778,0.780386692
118,-3.564,0.621363031,-0.061919207,0.635440906,0.445589954,,0.757638483,0.774768037,0.745501391,0.75502059
119,-2.114,-0.034077145,0.557890597,0.084093709,0.494286318,,0.779054286,0.708852099,0.764807783,0.745282223
120,-1.1,0.065219838,-0.113931013,-0.447963372,0.339621881,,0.754647316,0.783209373,0.770762702,0.772522536
121,-4.289,-0.542632442,-0.120197103,-0.203129946,0.631092503,,0.756325209,0.456119691,0.753342939,0.77610153
122,-3.428,-0.547641863,0.232691177,0.623992398,0.196477131,,0.71485219,0.763194516,0.764593454,0.764180673
123,-2.184,0.104597399,0.690924226,-0.028333878,0.20166506,,0.749694184,0.76456657,0.761981446,0.773108588
124,-2.005,0.025965745,0.392884527,0.027101641,0.190902041,,0.763499763,0.761201081,0.744923617,0.767861165
125,-0.623,0.298148124,0.474138631,0.159517761,0.414032255,,0.774542568,0.780943439,0.757415344,0.79194879
126,-1.328,0.383682897,0.335172373,0.22859182,-0.217896486,,0.759883307,0.770488484,0.767994913,0.779764049
127,-1.218,0.147259714,0.658655653,0.510269069,0.640935134,,0.584505404,0.73586084,0.761757481,0.779645619
128,-4.374,0.12313089,0.426012417,-1.284376796,0.51932161,,0.757442378,0.775520494,0.760068684,0.779132021
129,-1.558,0.545762903,-0.342115683,-1.337676984,0.257184097,,0.23127263,0.772484445,0.774832689,0.776405819
130,-2.171,0.33947202,0.696664173,0.205709679,0.572000034,,0.77597099,0.7587348,0.786126521,0.726661199
131,-0.239,0.349644271,0.557645564,0.558252002,0.633451178,,0.743737697,0.770284578,0.751223469,0.766095152
132,-2.287,0.431112083,0.552495786,-0.6130426,0.506485742,,0.762940643,0.609324035,0.752900593,0.755632795
133,-0.198,0.028271811,0.126908862,-0.010594268,0.602787293,,0.759754402,0.779672448,0.753414436,0.753034492
134,-1.316,0.509783982,0.487023887,-0.276787124,0.471106675,,0.778746477,0.469939346,0.789093193,0.7702592
135,-2.057,0.467689578,-0.038928515,-0.033865037,0.385812197,,0.762955097,0.772312196,0.78573495,0.784180215
136,-1.032,0.463260112,0.658326919,-0.236511253,0.573017235,,0.757108126,0.759706311,0.760398724,0.443400353
137,-2.024,0.658786865,0.293313088,-0.405810503,0.285274064,,0.724109111,0.765194594,0.779141541,0.76764525
138,-1.085,-0.273957719,0.680885072,0.116273246,-0.358777489,,0.730075355,0.675442828,0.773478595,0.763206151
139,-1.243,-0.072541543,0.563855783,0.076197945,0.570752296,,0.36586992,0.7701067,0.778488661,0.758267825
140,-0.579,-0.60407346,0.54140437,0.160292705,0.591330042,,0.754952665,0.767490152,0.7416924,0.777631681
141,-6.098,-0.099219918,0.620318639,0.123789561,-0.196422991,,0.775601743,0.768503917,0.691495283,0.770480535
142,-5.354,0.587711583,0.342826292,-0.543188603,0.013185251,,0.748744391,0.781084938,0.72078934,0.774594013
143,-2.131,0.549864564,-0.190958626,-0.467582146,0.5215059,,0.40321593,0.784107788,0.785504961,0.76629316
144,-4.276,0.591214209,0.076907576,0.575495243,0.620353394,,0.778038778,0.778736614,0.73892959,0.758039217
145,-6.333,0.54810589,0.577483522,0.571515025,0.648880835,,0.552957224,0.781645241,0.773911282,0.785816253
146,-7.045,0.240811378,0.303471682,0.672180489,0.727738968,,0.786201296,0.774591738,0.758195564,0.757689354
147,-2.16,0.326204044,0.340466848,0.44599204,0.332211581,,0.778075119,0.777201852,0.770801407,0.745308303
148,-5.157,-0.268992246,0.463819085,-0.489371185,0.602850971,,0.776124594,0.77004221,0.664270412,0.781946845
149,-5.052,0.662054397,0.581580072,0.581017571,0.404577423,,0.771724141,0.776010842,0.567790176,0.760145488
150,-4.039,-0.716729339,-0.19538873,0.464300976,0.372050022,,0.767860009,0.778899,0.768898295,0.768196251
151,-2.378,-0.332002219,0.477816944,0.206641839,0.679954477,,0.711813838,0.782857407,0.73890576,0.788542863
152,-5.842,-0.259789162,0.594064127,-0.021099704,0.746221462,,0.788410227,0.775738398,0.773284467,0.762397391
153,-5.12,-0.042173086,0.02969364,-0.79081438,0.531213783,,0.787205898,0.617170756,0.76527187,0.772048887
154,-5.217,-0.196122663,0.66354599,-0.882315261,0.691659611,,0.782936372,0.719963405,0.728439233,0.767328807
155,-6.217,0.65723912,0.393666278,0.223007772,0.479310847,,0.784113947,0.755002415,0.779045771,0.781798322
156,-3.206,0.480632985,0.555179631,0.186653415,0.741426681,,0.774343017,0.766501863,0.729898122,0.757611227
157,-3.324,0.295367875,0.315625484,0.547042862,0.720762332,,0.771289159,0.747868134,0.773691284,0.772501727
158,-4.096,0.521396212,0.297552644,0.33088749,0.74980502,,0.764582246,0.757376495,0.529624566,0.773960711
159,-4.048,0.174857985,0.500812822,-0.202663289,0.233829474,,0.740602658,0.759989787,0.764375856,0.774254836
160,-3.256,-0.913842318,0.315429724,0.420655275,0.637985698,,0.76314554,0.769924852,0.764131171,0.793288523
161,-2.097,-0.228174667,0.463417313,0.491986122,0.724431967,,0.76873807,0.765841594,0.745236484,0.780463074
162,-2.354,0.454730866,0.671057118,-0.732962104,0.73397676,,0.763961925,0.781973094,0.77245302,0.75440362
163,-2.193,0.474333048,0.655160994,0.419658069,0.387673486,,0.789436642,0.624305353,0.781906985,0.778023858
164,-2.208,0.285377919,0.212747849,-0.037309601,0.694226705,,0.711480389,0.771034697,0.765872135,0.767156775
165,-2.222,0.165699549,0.469476994,0.382044686,0.612665285,,0.780470088,0.767798454,0.780214698,0.772894407
166,-2.012,-0.496931052,0.167434618,0.395065551,0.03523563,,0.782563785,0.754256966,0.761095329,0.766066511
167,-3.222,0.600069528,0.191261704,-0.333273568,0.496587746,,0.784302575,0.766802152,0.775219433,0.783820863
168,-3.106,0.568752347,0.440571731,0.325084014,0.39392812,,0.784721184,0.766477235,0.675228913,0.554787648
169,-3.244,0.526000643,0.317516272,0.648151566,0.702615281,,0.761129704,0.623140486,0.461655445,0.77087294
170,-5.174,-0.040262458,0.031617799,0.65296717,-0.116443071,,0.746417221,0.78147972,0.431272377,0.541619233
171,-5.162,0.262499744,0.145199288,0.530618504,0.521365252,,0.771724008,0.761935904,0.760214919,0.770974905
172,-4.082,0.171375308,-0.134838564,0.482162704,0.493629159,,0.755396255,0.770635074,0.766647469,0.768000426
173,-5.13,0.34826848,0.609950981,0.495330016,0.401472304,,0.545681322,0.720920929,0.723140701,0.779541554
174,-4.111,0.145836,-0.262327419,0.713009655,0.694716397,,0.765453117,0.780572964,0.767760683,0.76198982
175,-2.344,-0.154947698,0.710757034,0.262299066,-0.023545154,,0.7727036,0.786725554,0.769907179,0.774486606
176,-4.167,-0.217368579,-0.335725405,0.698810059,0.553740069,,,0.470622969,0.636136975,0.769742381
177,-4.618,0.287288601,0.42676212,0.656859337,0.675075878,,,0.759833894,0.761611318,0.770331274
178,-2.981,0.129341391,0.723203425,-0.238543391,0.702939603,,,0.788243825,0.753482195,0.757451871
179,-3.008,0.252747211,0.351151369,0.205136193,0.732203899,,,0.76634976,0.760691934,0.770433277
180,-4.955,0.185479913,0.296188359,0.663302157,0.638519288,,,,0.78630293,0.546061299
181,-0.104,0.470138283,0.370528142,0.655554354,0.726998617,,,,0.724774792,0.778071032
182,-2.105,0.149851088,0.671079874,0.166339261,0.230984313,,,,,0.479159066
183,-3.325,-0.339761089,0.701922405,0.431807844,0.326614212,,,,,0.787597145
184,-2.114,-0.238587933,0.623988301,0.604435063,-1.117471389,,,,,0.740034083
185,-1.551,-0.009917834,-0.209339069,0.553651312,0.278485545,,,,,0.783164197
186,-1.073,0.38619645,0.625091141,0.552400148,0.273432501,,,,,0.771141462
187,-4.088,-0.179419572,-0.674467603,0.485908281,0.659790456,,,,,0.782943097
188,-2.225,0.055931732,0.647035079,0.349510323,0.669530734,,,,,0.781159146
189,-2.151,0.057007161,0.503049053,0.622986414,0.535178783,,,,,0.782041473
190,-1.229,0.124834906,0.582516525,0.342577471,0.656081512,,,,,0.781121
191,-2.082,0.545051038,0.060618462,-0.432817503,0.541792606,,,,,0.776508824
192,-3.261,-0.148241408,-0.263275773,0.685050843,0.447299288,,,,,0.759494695
193,-4.06,0.680949015,0.511767842,0.001024132,0.731447113,,,,,0.771599396
