,old_3
0,-5.706425655908163
1,-5.913852483252957
2,-3.963216896299823
3,-5.650789075824221
4,-3.539191135385148
5,-3.9998835145901146
6,-2.9282400196145613
7,-2.607985104543811
8,-2.0974031599718512
9,-1.7875667953807266
10,-1.5152473457156657
11,-3.4171959584346476
12,-2.193440881086816
13,-1.791908271437464
14,-2.1921287598592576
15,-1.5061498398130553
16,-1.8016017351766258
17,-1.573351779047054
18,-2.7483082166880464
19,-2.3697214859808464
20,-1.4507733679168289
21,-2.89775767418166
22,-1.46609573485638
23,-1.0756146562670081
24,-3.41745882823084
25,-4.05848394889752
26,-1.4966468468326306
27,-0.6127405421519495
28,-0.7712451265189166
29,-1.7865325563139496
30,-1.1207262056297838
31,-1.4816291814202565
32,-0.7859560982785314
33,-0.9494958374831896
34,-1.7125934385079433
35,-1.3954030871847367
36,-2.0024315309455236
37,-0.7453141553734365
38,-0.9072640571175705
39,-1.6536086574721836
40,0.16680615562956372
41,-1.6115582035998712
42,-2.0988592339176626
43,-0.29333671368619163
44,-0.47208977563635257
45,0.2266273109039144
46,-0.7929454919743073
47,-0.2130429588045347
48,-0.578700145265475
49,-0.6407340365242988
50,-0.6585277727237399
51,-1.2491435011508272
52,-0.5276338893467429
53,-0.7220310685540698
54,-0.20597270769463227
55,-0.36745578971309023
56,0.022202001120083047
57,0.1344766613420736
58,-0.3737226769225382
59,0.37747996112404847
60,-0.18922308791322157
61,0.1690686429114397
62,-0.30299247875750535
63,0.4591557350005118
64,0.2581553804170491
65,-0.10500627126700741
66,0.08722174467990197
67,0.14793020506470317
68,0.18698494377086378
69,-0.5293266613898384
70,0.11464502223497193
71,0.07758333566133212
72,0.19229127387208425
73,-0.3933587472521127
74,-0.5502185829382665
75,-0.04913515419783543
76,-0.4630752778497277
77,0.25708439042663733
78,0.391186508953835
79,0.30435373173088165
80,-0.41946638263197444
81,0.43141371541085416
82,-0.04527671986472963
83,0.3043158486113038
84,0.16983479346486258
85,0.2954856388212922
86,-0.16121495465496563
87,0.31956844350455055
88,0.10772110662551829
89,0.3313658400788208
90,0.37083083877618617
91,0.6780020617791915
92,0.6020677983513162
93,0.2621799701082054
94,-0.06745834083091987
95,0.27577110351227524
96,0.5349471409100532
97,-0.06043321645919882
98,0.2819740031258452
99,-0.49937038281854573
100,0.6079310856506239
101,0.2313083327037048
102,0.5677799337435985
103,0.12913915808407808
104,0.20807470451674112
105,0.05512069393893464
106,-0.30296982484643226
107,-0.2692315338657535
108,0.44436176142518197
109,0.48823792645111397
110,0.08602513628663543
111,0.27350266928961614
112,0.6146749780821835
113,0.23874455702655575
114,0.006352229472585291
115,0.1812469008538778
116,-0.3931023304890331
117,0.428855101875291
118,-0.06191920651438219
119,0.5578905973674886
120,-0.11393101311533674
121,-0.12019710322186708
122,0.23269117732388883
123,0.6909242264242773
124,0.39288452707522065
125,0.4741386307887104
126,0.335172373413222
127,0.6586556532337252
128,0.4260124172742703
129,-0.3421156834488498
130,0.6966641726581263
131,0.5576455637620628
132,0.5524957858748403
133,0.12690886205298807
134,0.48702388703394417
135,-0.03892851523945832
136,0.6583269187353028
137,0.2933130876949179
138,0.6808850715294944
139,0.5638557833411146
140,0.5414043703055511
141,0.6203186392048727
142,0.3428262918543421
143,-0.19095862551373013
144,0.07690757579508296
145,0.5774835216562321
146,0.3034716823821171
147,0.3404668480463383
148,0.4638190846947666
149,0.5815800722090507
150,-0.19538872951995306
151,0.4778169439263039
152,0.5940641269524145
153,0.029693640308169268
154,0.6635459895548232
155,0.3936662781626791
156,0.555179630601204
157,0.31562548438706983
158,0.29755264364360456
159,0.5008128219580619
160,0.3154297242825506
161,0.46341731274889886
162,0.6710571181692384
163,0.6551609940443865
164,0.2127478493953765
165,0.4694769942487714
166,0.16743461822687217
167,0.19126170353009414
168,0.44057173075923706
169,0.31751627248202274
170,0.031617799404280424
171,0.14519928806942345
172,-0.13483856435983607
173,0.6099509807650383
174,-0.26232741936488396
175,0.7107570341409085
176,-0.3357254052451828
177,0.4267621204160038
178,0.7232034254631288
179,0.3511513689604947
180,0.2961883586941577
181,0.3705281422341654
182,0.6710798743313993
183,0.7019224052486768
184,0.6239883011015147
185,-0.20933906913741804
186,0.6250911407457758
187,-0.6744676028733377
188,0.6470350793363348
189,0.503049053105375
190,0.5825165246802173
191,0.06061846181513526
192,-0.2632757727148466
193,0.5117678418918628
194,0.18929031278090452
195,0.1320267082676847
196,0.4461447425184729
197,0.5068791060474526
198,0.6080269654475107
199,0.547209733883249
200,0.3869494092292233
201,0.57612898151926
202,0.5315753498483865
203,0.4552991227513436
204,0.6379423637917296
205,0.5930009893310043
206,0.31972984460531684
207,0.7060558720336013
208,0.3164288440864612
209,0.5017355167054085
210,0.6796187218423388
211,0.7184698028660214
212,0.3993724523279626
213,0.2847401015722056
214,0.5036004267051176
215,0.46747531058442016
216,0.42201459068184866
217,0.5045188496313531
218,0.42788635312407486
219,0.6504946298478775
220,0.5086520894455608
221,0.5586169002654696
222,0.49020212999763296
223,0.28916284738479037
224,0.08013861312756157
225,0.7185322286694309
226,0.37572015015640703
227,0.7186539420533853
228,0.7306463074659331
229,0.463358386608946
230,0.40028462669492726
231,0.6980362079286009
232,0.6869740365600242
233,0.6343348049390842
234,0.2750785503365869
235,0.18327662980419718
236,0.4780491957997965
237,0.004345240947010743
238,-0.054905305743675026
239,0.6421864538943556
240,0.604419640076909
241,0.4499907842885344
242,0.34572552037307025
243,0.641749064803729
244,0.35916641244989106
245,0.49263393339013034
246,0.7009526414252367
247,0.1743413918341363
248,0.7120548504335529
249,0.680030403047302
250,0.07739346487544368
251,0.7125325334173
252,0.29117721352762066
253,0.6062354439972871
254,0.5473280344914035
255,0.7227406924465845
256,0.7383704030635847
257,0.07688433589364785
258,0.3433804270932852
259,0.6519767708481757
260,0.4834967743222526
261,-0.028018505466896028
262,0.45709384217630233
263,0.41786418688418614
264,0.566892892031918
265,0.733243897252226
266,0.38966238021034144
267,0.6810516493550741
268,0.5882930367952733
269,-0.01603849312897111
270,0.6601644614522737
271,0.5000507965336667
272,0.6331271773083328
273,0.47724127408325845
274,0.3802950311354768
275,-0.2026682052742458
276,0.3861864771154916
277,0.7455431542756202
278,0.46783990447275337
279,0.23995445604492302
280,0.4728363548262777
281,0.3349516134599016
282,0.7211606260755575
283,0.45574751146347364
284,0.7274955861848397
285,0.2613077128630077
286,0.7379618751060945
287,0.23742038098457358
288,0.2643044780163972
289,0.4431657922119615
290,0.6716350081514628
291,0.4926831259727839
292,0.2656710273487037
293,0.1832445143959603
294,0.23566581699248043
295,0.42607242102877924
296,0.6424507170338674
297,0.5796981736688213
298,0.6379803063443316
299,0.12770937053230907
300,0.3891580574775085
301,0.7390612443455976
302,0.5894330195786266
303,0.5836166963463788
304,0.3056698421145497
305,0.7047233272195734
306,0.6878235885647191
307,0.5005061365171096
308,0.7305493646297158
309,0.5296180158060837
310,0.07294969765816031
311,0.6266350850175896
312,0.06107076331381356
313,0.7219837914616083
314,0.42724553980876834
315,0.7299128762249607
316,0.14311545673010073
317,0.5117815331918918
318,0.19494939205636524
319,0.13460144976885097
320,0.45786523123774925
321,0.4897176711695564
322,0.21715538849288002
323,0.7160660916006569
324,0.7330898805636468
325,0.6523584691460809
326,0.7277176668372678
327,0.7307633951825874
328,0.7228405261821889
329,0.4557742288819459
330,0.5536818636342006
331,0.05738620493834183
332,0.7007362683567596
333,0.6005938494720343
334,0.550680162041518
335,0.692646728062347
336,0.6871609292004708
337,0.7053527997823221
338,0.7106822366209414
339,0.7284451188649773
